"Your input","Epoch timestamp","Converted epoch (double-check your input!)"
2013-01-28T01:43:04+01:00,1359333784,Mon, 28 Jan 2013 00:43:04 +0000
2013-01-28T01:43:05+01:00,1359333785,Mon, 28 Jan 2013 00:43:05 +0000
2013-01-28T01:43:06+01:00,1359333786,Mon, 28 Jan 2013 00:43:06 +0000
2013-01-28T01:43:07+01:00,1359333787,Mon, 28 Jan 2013 00:43:07 +0000
2013-01-28T01:43:08+01:00,1359333788,Mon, 28 Jan 2013 00:43:08 +0000
2013-01-28T01:43:09+01:00,1359333789,Mon, 28 Jan 2013 00:43:09 +0000
2013-01-28T01:43:10+01:00,1359333790,Mon, 28 Jan 2013 00:43:10 +0000
2013-01-28T01:43:11+01:00,1359333791,Mon, 28 Jan 2013 00:43:11 +0000
2013-01-28T01:43:12+01:00,1359333792,Mon, 28 Jan 2013 00:43:12 +0000
2013-01-28T01:43:13+01:00,1359333793,Mon, 28 Jan 2013 00:43:13 +0000
2013-01-28T01:43:14+01:00,1359333794,Mon, 28 Jan 2013 00:43:14 +0000
2013-01-28T01:43:15+01:00,1359333795,Mon, 28 Jan 2013 00:43:15 +0000
2013-01-28T01:43:16+01:00,1359333796,Mon, 28 Jan 2013 00:43:16 +0000
2013-01-28T01:43:17+01:00,1359333797,Mon, 28 Jan 2013 00:43:17 +0000
2013-01-28T01:43:18+01:00,1359333798,Mon, 28 Jan 2013 00:43:18 +0000
2013-01-28T01:43:19+01:00,1359333799,Mon, 28 Jan 2013 00:43:19 +0000
2013-01-28T01:43:20+01:00,1359333800,Mon, 28 Jan 2013 00:43:20 +0000
2013-01-28T01:43:21+01:00,1359333801,Mon, 28 Jan 2013 00:43:21 +0000
2013-01-28T01:43:22+01:00,1359333802,Mon, 28 Jan 2013 00:43:22 +0000
2013-01-28T01:43:23+01:00,1359333803,Mon, 28 Jan 2013 00:43:23 +0000
2013-01-28T01:43:24+01:00,1359333804,Mon, 28 Jan 2013 00:43:24 +0000
2013-01-28T01:43:25+01:00,1359333805,Mon, 28 Jan 2013 00:43:25 +0000
2013-01-28T01:43:26+01:00,1359333806,Mon, 28 Jan 2013 00:43:26 +0000
2013-01-28T01:43:27+01:00,1359333807,Mon, 28 Jan 2013 00:43:27 +0000
2013-01-28T01:43:28+01:00,1359333808,Mon, 28 Jan 2013 00:43:28 +0000
2013-01-28T01:43:29+01:00,1359333809,Mon, 28 Jan 2013 00:43:29 +0000
2013-01-28T01:43:30+01:00,1359333810,Mon, 28 Jan 2013 00:43:30 +0000
2013-01-28T01:43:31+01:00,1359333811,Mon, 28 Jan 2013 00:43:31 +0000
2013-01-28T01:43:32+01:00,1359333812,Mon, 28 Jan 2013 00:43:32 +0000
2013-01-28T01:43:33+01:00,1359333813,Mon, 28 Jan 2013 00:43:33 +0000
2013-01-28T01:43:34+01:00,1359333814,Mon, 28 Jan 2013 00:43:34 +0000
2013-01-28T01:43:35+01:00,1359333815,Mon, 28 Jan 2013 00:43:35 +0000
2013-01-28T01:43:36+01:00,1359333816,Mon, 28 Jan 2013 00:43:36 +0000
